Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
350,96,1,20,3,0.1,0.1,493.6350619511484,348.228692370011,0.027607125342617746,0.0805321173234419
351,96,1,20,3,0.1,0.3,305.6811986423691,217.14853877333223,0.01738508225226179,0.08295347473838109
352,96,1,20,3,0.1,0.5,264.96618409655787,187.3402880028285,0.01512301775236758,0.0794197862798517
353,96,1,20,3,0.1,0.7,249.83554165076848,175.41791112993928,0.014289194780452145,0.08387910236011847
354,96,1,20,3,0.1,0.1,493.73365536596503,348.26945176725786,0.0276025426089597,0.08574368736960668
355,96,1,20,3,1.0,0.1,884.9346806360725,672.1130689772945,0.052051246227656625,0.08266576853665435
356,96,1,20,3,1.0,0.3,507.2901320469509,358.01921626650295,0.0283360864145345,0.07961567965420807
357,96,1,20,3,1.0,0.5,396.18676807445576,280.0131681885419,0.02231763979496921,0.07874053174799134
358,96,1,20,3,1.0,0.7,342.59984815656895,243.2852190901476,0.019425191420186137,0.07748038118535817
359,96,1,20,3,1.0,0.1,884.9452692586009,672.1376993336848,0.05206140382552942,0.07664634964682834
360,96,1,20,5,0.001,0.1,241.68845497866414,168.87434060749544,0.013868434886595154,0.14366845651106397
361,96,1,20,5,0.001,0.3,240.75090070010611,166.90887754596224,0.013835896459515147,0.1451596780256791
362,96,1,20,5,0.001,0.5,242.21230073482909,167.80510706076896,0.013896424593391183,0.13970184326171872
363,96,1,20,5,0.001,0.7,242.79770542848325,168.06617990937394,0.013906269411784845,0.13618629628961731
364,96,1,20,5,0.001,0.1,241.69275996070127,168.88705400981593,0.01386870398018389,0.13010753284801133
365,96,1,20,5,0.01,0.1,300.5014117037038,213.47479206290052,0.017100874228125135,0.11767875064503058
366,96,1,20,5,0.01,0.3,242.47956170169627,169.53032190406358,0.013906120332487037,0.1231915950775146
367,96,1,20,5,0.01,0.5,238.9965281781514,166.1329414791514,0.013745012881098683,0.12753035805442112
368,96,1,20,5,0.01,0.7,239.669839705678,166.32467066037842,0.013780251214982364,0.1151254393837668
369,96,1,20,5,0.01,0.1,300.5196558119692,213.4750984107285,0.01710306903463842,0.14325696771795096
370,96,1,20,5,0.1,0.1,493.9182462095275,348.40989310683176,0.027609934411371648,0.11397285894914103
371,96,1,20,5,0.1,0.3,306.02709457986504,217.40601333978174,0.017400523852823736,0.10533820499073371
372,96,1,20,5,0.1,0.5,264.9120858644844,187.3489396776885,0.015121970876179829,0.10682376948269927
373,96,1,20,5,0.1,0.7,249.80910818206576,175.3595684148194,0.014286354797178184,0.13084153695539988
374,96,1,20,5,0.1,0.1,493.35397357677834,348.0119218936279,0.02758636000010992,0.13172958113930439
375,96,1,20,5,1.0,0.1,884.7356847243601,671.9612261939554,0.05204529540233507,0.1310254660519686
376,96,1,20,5,1.0,0.3,507.30560614888634,358.03039082687565,0.028353862990118526,0.13315686312588773
377,96,1,20,5,1.0,0.5,395.8031103232908,279.78607735397685,0.022305216492695245,0.11814427375793453
